run_id	mem_per_gpu
r3018mbf	16G
5263hvdc	24G
kjoym885	24G
dmnuwxy4	16G
obh66pq1	16G
vzbzodlz	16G
5nrxzhap	24G
vxqjav5a	16G
jd0r3dq6	16G
3skrqexa	16G
x1iwd5fb	16G
cxhdezb0	16G
zjsq0e24	16G
kgat3x7a	8G
83klmsp7	8G
md3j8dbc	8G
h8chhg13	8G
5gfwnzli	8G
xaeend60	8G
p5apafn3	8G
xf3hvjo2	8G
0kakcyr9	8G
q6rcujmh	4G
qj5f2i2j	4G
n2mp746d	8G
uvqs8l85	4G
62wdada5	8G
antuqvlg	8G
2de9gb7f	16G
8u7bltew	24G
b0svwa76	24G
10b1h1sv	24G
h0n94xl0	16G
o1w2rv3d	24G
gri2oj5q	24G
trtspjxl	16G
yjfdfg1n	24G
06h2p4ko	24G
k3nn3dxo	24G
x57ucd3x	24G
0n18fhlg	24G
4afxboyb	24G
yacpgcmt	24G
yhl6yaaz	24G
8dyehkid	24G
4kr5ii6w	24G
col706e4	4G
