run_id	mem_per_gpu
izk3tksq	4G
0yylrorv	8G
rqhkoyfq	8G
4xfgd3lq	8G
msi7etk5	4G
okmlpug9	4G
47u0h1xq	16G
8vi2fxiz	16G
ac5ix8l3	16G
t74f60cs	24G
1aivymd6	24G
w4u8900h	24G
m590xdhd	24G
8mq68m03	24G
rg49by8l	24G
3qrjwtba	24G
ne1lbrrc	24G
mn16n4yw	24G
blie9u4w	24G
gk0at8vy	24G
5huf8ay7	24G
40ap0u8g	24G
pw0gqwnq	24G
jvq4ojf8	24G
5tof0y29	8G
xym27met	8G
tvpm2b3r	8G
m019sos0	8G
p2po2tsr	8G
anvxsksw	8G
zp5cheod	16G
0e5k2ea2	16G
40jnzmou	16G
p20ulaor	16G
gpr58zfc	24G
pwzqlk09	24G
ak0o57wd	24G
6qn3t3xt	16G
utyspm3e	16G
9gf23x81	16G
u0qw2hbm	16G
70amrm7o	16G
w73w6ynb	16G
clozmy0s	16G
3si107a7	16G
dsthsqjq	8G
xbuzctnl	8G
92x7mxy6	8G
2zslv44a	8G
brb06ybv	8G
lv0qj5xt	8G
03rrgfdl	8G
1cxykomd	8G
hufqnrba	4G
hd2jka9m	8G
5cvzq6j3	4G
ozcs5xof	4G
6xk8afwz	8G
dygg9l23	8G
3s9hpsw7	8G
7dzgi4jv	16G
i6jmqlos	16G
2d8hvefl	16G
p0qldj67	24G
jps0yi7n	24G
7ik67hvq	24G
qn3ywgr2	24G
uhf4oghl	24G
m2h0tb1f	24G
rs5d4b9r	24G
mqmduldz	24G
ccbioftm	24G
yiib7ssz	24G
ft0f6c9d	24G
njc62qzf	24G
9x751ofb	24G
lnf21b00	24G
ykzd3y1g	24G
